source_file,source_sheet,source_row,report_period_start,report_period_end,business_date,arrivals,departures,stayovers,projected_walk_ins,projected_cxl_no_show_rate,rooms_sold,total_comp_rooms,out_of_order_rooms,occupancy_rate_reported,room_revenue_net,adr_reported,revpar_reported,transient_rooms,group_rooms_picked_up,group_rooms_not_picked_up,group_room_revenue_net,group_adr_reported,group_non_gtd_arrivals,group_gtd_arrivals,group_comp_rooms,total_group_guests_in_house
ReservationForecast 2024.xls,ReservationForecast,234,2024-01-01,2024-12-31,2024-08-12,20,16,11,0,0.0,31,0,11,0.63,4251.04,137.1303,86.7559,30,1,0,158.1,158.1,0,0,0,2
ReservationForecast 2024.xls,ReservationForecast,235,2024-01-01,2024-12-31,2024-08-13,43,21,9,0,0.0,52,0,6,0.96,7087.3,136.2942,131.2462,52,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,236,2024-01-01,2024-12-31,2024-08-14,29,45,7,0,0.0,36,0,9,0.71,5103.85,141.7736,100.0754,34,2,0,403.2,201.6,0,2,0,3
ReservationForecast 2024.xls,ReservationForecast,237,2024-01-01,2024-12-31,2024-08-15,37,23,13,0,0.0,50,0,5,0.91,7106.92,142.1384,129.2167,41,9,0,1977.9,219.7666,0,7,0,19
ReservationForecast 2024.xls,ReservationForecast,238,2024-01-01,2024-12-31,2024-08-16,39,29,21,0,0.0,60,0,0,1.0,11624.98,193.7496,193.7496,32,28,0,5932.59,211.8782,0,19,0,61
ReservationForecast 2024.xls,ReservationForecast,239,2024-01-01,2024-12-31,2024-08-17,26,26,34,0,0.0,60,0,0,1.0,12389.44,206.4906,206.4906,23,37,0,7602.66,205.4772,0,10,0,77
ReservationForecast 2024.xls,ReservationForecast,240,2024-01-01,2024-12-31,2024-08-18,23,58,2,0,0.0,25,0,25,0.71,3058.04,122.3216,87.3725,24,1,0,173.7,173.7,0,0,0,2
ReservationForecast 2024.xls,ReservationForecast,241,2024-01-01,2024-12-31,2024-08-19,26,18,7,0,0.0,33,0,6,0.61,3870.82,117.2975,71.6818,33,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,242,2024-01-01,2024-12-31,2024-08-20,20,26,7,0,0.0,27,0,9,0.53,3728.31,138.0855,73.1041,27,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,243,2024-01-01,2024-12-31,2024-08-21,25,14,13,0,0.0,38,0,7,0.72,4435.3,116.7184,83.6849,35,3,0,663.8,221.2666,0,3,0,6
ReservationForecast 2024.xls,ReservationForecast,244,2024-01-01,2024-12-31,2024-08-22,30,23,15,0,0.0,45,0,5,0.82,6410.7,142.46,116.5581,33,12,0,2710.6,225.8833,0,9,0,22
ReservationForecast 2024.xls,ReservationForecast,245,2024-01-01,2024-12-31,2024-08-23,47,33,13,0,0.0,60,0,0,1.0,12413.59,206.8931,206.8931,13,47,0,9926.7,211.2063,0,37,0,93
ReservationForecast 2024.xls,ReservationForecast,246,2024-01-01,2024-12-31,2024-08-24,28,27,32,0,0.0,60,0,0,1.0,12895.58,214.9263,214.9263,17,43,0,9207.35,214.1244,0,13,0,86
ReservationForecast 2024.xls,ReservationForecast,247,2024-01-01,2024-12-31,2024-08-25,39,57,3,0,0.0,42,0,7,0.79,5235.66,124.6585,98.786,42,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,248,2024-01-01,2024-12-31,2024-08-26,39,29,13,0,0.0,52,0,3,0.91,6800.92,130.7869,119.3143,52,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,249,2024-01-01,2024-12-31,2024-08-27,38,33,19,0,0.0,57,0,2,0.98,7041.13,123.5285,121.3987,57,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,250,2024-01-01,2024-12-31,2024-08-28,42,39,18,0,0.0,60,0,0,1.0,8498.02,141.6336,141.6336,60,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,251,2024-01-01,2024-12-31,2024-08-29,35,36,24,0,0.0,59,0,0,0.98,9487.4,160.8033,158.1233,58,1,0,200.0,200.0,0,1,0,2
ReservationForecast 2024.xls,ReservationForecast,252,2024-01-01,2024-12-31,2024-08-30,27,37,22,0,0.0,49,0,0,0.82,8698.2,177.5142,144.97,37,12,0,2355.04,196.2533,0,11,0,20
ReservationForecast 2024.xls,ReservationForecast,253,2024-01-01,2024-12-31,2024-08-31,46,35,20,0,0.0,66,0,0,,12725.44,192.8096,212.0906,44,22,0,4538.74,206.3063,0,10,0,43
ReservationForecast 2024.xls,ReservationForecast,254,2024-01-01,2024-12-31,2024-09-01,40,40,20,0,0.0,60,0,0,1.0,9886.63,164.7771,164.7771,51,9,0,1908.45,212.05,0,5,0,17
ReservationForecast 2024.xls,ReservationForecast,255,2024-01-01,2024-12-31,2024-09-02,21,43,17,0,0.0,38,0,12,0.79,4727.72,124.4136,98.4941,38,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,256,2024-01-01,2024-12-31,2024-09-03,21,26,12,0,0.0,33,0,6,0.61,4182.93,126.7554,77.4616,33,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,257,2024-01-01,2024-12-31,2024-09-04,19,21,12,0,0.0,31,0,1,0.53,3846.91,124.0938,65.2018,31,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,258,2024-01-01,2024-12-31,2024-09-05,26,21,10,0,0.0,36,0,1,0.61,5214.56,144.8488,88.3823,29,7,0,1608.2,229.7428,0,7,0,17
ReservationForecast 2024.xls,ReservationForecast,259,2024-01-01,2024-12-31,2024-09-06,44,23,13,0,0.0,57,0,0,0.95,11091.03,194.5794,184.8505,21,36,0,7659.55,212.7652,0,29,0,75
ReservationForecast 2024.xls,ReservationForecast,260,2024-01-01,2024-12-31,2024-09-07,29,27,30,0,0.0,59,0,0,0.98,11652.48,197.4996,194.208,14,45,0,9261.45,205.81,0,20,0,90
ReservationForecast 2024.xls,ReservationForecast,261,2024-01-01,2024-12-31,2024-09-08,22,57,2,0,0.0,24,0,7,0.45,2564.25,106.8437,48.382,24,0,0,-100.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,262,2024-01-01,2024-12-31,2024-09-09,25,20,4,0,0.0,29,0,7,0.55,3857.73,133.0251,72.7873,29,0,0,248.2,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,263,2024-01-01,2024-12-31,2024-09-10,13,17,12,0,0.0,25,0,1,0.42,3701.11,148.0444,62.7306,25,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,264,2024-01-01,2024-12-31,2024-09-11,17,20,5,0,0.0,22,0,1,0.37,2896.95,131.6795,49.1008,22,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,265,2024-01-01,2024-12-31,2024-09-12,31,14,8,0,0.0,39,0,0,0.65,5778.95,148.1782,96.3158,33,6,0,1201.85,200.3083,0,6,0,12
