business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-10-04,xgboost,0,,59,60,59.53812789916992,0.992302131652832,very_high,204.82,0.12,229.4,204.8171,24.58,24.58,12084.21,13534.6,13658.05,1450.39,
2025-10-05,xgboost,0,,29,60,28.569843292236328,0.4761640548706055,low,106.09,-0.08,97.6,106.0862,-8.49,-8.49,3076.5,2830.4,2788.42,-246.1,
2025-10-06,xgboost,0,,34,60,38.73553466796875,0.6455922444661458,neutral,102.96,0.0,102.96,102.9579,0.0,0.0,3500.57,3500.64,3988.21,0.07,
2025-10-07,xgboost,0,,34,60,38.83401870727539,0.6472336451212565,neutral,113.33,0.0,113.33,113.3274,0.0,0.0,3853.13,3853.22,4401.06,0.09,
2025-10-08,xgboost,0,,41,60,43.143123626708984,0.7190520604451497,moderately_high,122.34,0.04,127.23,122.3354,4.89,4.89,5015.75,5216.43,5489.1,200.68,
2025-10-09,xgboost,0,,49,60,41.84328079223633,0.6973880132039388,neutral,129.14,0.0,129.14,129.1406,0.0,-0.0,6327.89,6327.86,5403.64,-0.03,
2025-10-10,xgboost,0,,58,60,59.27252197265625,0.9878753662109375,very_high,195.94,0.12,219.45,195.9421,23.51,23.51,11364.64,12728.1,13007.35,1363.46,
2025-10-11,xgboost,0,,60,60,59.4163932800293,0.9902732213338216,very_high,203.78,0.12,228.23,203.7838,24.45,24.45,12227.03,13693.8,13560.6,1466.77,
2025-10-12,xgboost,0,,59,60,36.51960372924805,0.6086600621541342,neutral,186.35,0.0,186.35,186.3459,0.0,0.0,10994.41,10994.65,6805.43,0.24,
2025-10-13,xgboost,0,,22,60,42.378135681152344,0.706302261352539,moderately_high,105.18,0.04,109.39,105.18,4.21,4.21,2313.96,2406.58,4635.74,92.62,
2025-10-14,xgboost,0,,37,60,31.099355697631836,0.5183225949605306,moderately_low,114.39,-0.04,109.81,114.3911,-4.58,-4.58,4232.47,4062.97,3415.02,-169.5,
2025-10-15,xgboost,0,,53,60,42.421539306640625,0.707025655110677,moderately_high,156.12,0.04,162.36,156.123,6.24,6.24,8274.52,8605.08,6887.56,330.56,
2025-10-16,xgboost,0,,57,60,53.07810974121094,0.8846351623535156,high,164.98,0.08,178.18,164.9849,13.2,13.2,9404.14,10156.26,9457.46,752.12,
2025-10-17,xgboost,0,,53,60,58.95681381225586,0.9826135635375977,very_high,224.88,0.12,251.87,224.8821,26.99,26.99,11918.75,13349.11,14849.45,1430.36,
2025-10-18,xgboost,0,,59,60,58.62944412231445,0.9771574020385743,very_high,229.48,0.12,257.02,229.4846,27.54,27.54,13539.59,15164.18,15068.94,1624.59,
2025-10-19,xgboost,0,,45,60,48.9937744140625,0.8165629069010417,high,155.28,0.08,167.7,155.2844,12.42,12.42,6987.8,7546.5,8216.26,558.7,
2025-10-20,xgboost,0,,42,60,35.84249496459961,0.5973749160766602,moderately_low,157.2,-0.04,150.91,157.2019,-6.29,-6.29,6602.48,6338.22,5408.99,-264.26,
2025-10-21,xgboost,0,,46,60,42.823604583740234,0.7137267430623372,moderately_high,111.59,0.04,116.05,111.5859,4.46,4.46,5132.95,5338.3,4969.68,205.35,
2025-10-22,xgboost,0,,28,60,45.74809646606445,0.7624682744344076,moderately_high,94.02,0.04,97.78,94.0161,3.76,3.76,2632.45,2737.84,4473.25,105.39,
2025-10-23,xgboost,0,,47,60,37.05952072143555,0.6176586786905924,neutral,125.96,0.0,125.96,125.957,0.0,0.0,5919.98,5920.12,4668.02,0.14,
2025-10-24,xgboost,0,,56,60,58.028099060058594,0.9671349843343099,very_high,213.18,0.12,238.76,213.1761,25.58,25.58,11937.86,13370.56,13854.79,1432.7,
2025-10-25,xgboost,0,,59,60,60.0,1.0,very_high,218.36,0.12,244.56,218.3632,26.2,26.2,12883.43,14429.04,14673.6,1545.61,
2025-10-26,xgboost,0,,29,60,45.083641052246094,0.7513940175374348,moderately_high,154.45,0.04,160.63,154.4493,6.18,6.18,4479.03,4658.27,7241.79,179.24,
2025-10-27,xgboost,0,,27,60,34.6346435546875,0.5772440592447917,moderately_low,137.53,-0.04,132.03,137.5259,-5.5,-5.5,3713.2,3564.81,4572.81,-148.39,
